Stride Time,Total Steps,Valid Bouts,Walking Percentage,Class
1.02992154599811,15690,60,6.55889765249452,0
1.07933016385638,9666,42,2.07148915366353,0
1.14150911045491,20104,65,5.10346943863754,0
1.21298908996262,5356,28,1.56037614954129,0
1.00340400590898,5874,20,1.26074541016819,0
1.0992658987564,6356,26,1.53667235804577,0
1.23140952996095,6909,32,1.52741306449283,0
0.907317938456546,3304,16,0.613705976688803,0
1.0992658987564,23636,91,5.71270666953547,0
1.08182173416816,10247,46,2.33074937314583,0
1.04738460001748,3332,17,0.863000496480827,0
1.19510311077552,2782,15,0.603705939651628,0
1.12774360077436,6789,30,2.08260030592706,0
1.13623665817847,4329,12,1.02757907403839,0
1.21276111580971,16047,46,4.69113304938691,0
1.17129883548829,14556,46,4.43964607276323,0
1.18395370664408,10617,40,2.6929729369368,0
1.06499692127999,3118,12,0.649508903184876,0
0.933343124492362,21042,55,4.34756500330271,0
3.86251404365043,3022,16,0.788126764603747,0
1.01947012784989,10948,34,3.66260427486629,0
3.49277928134238,3721,13,1.38844292879524,0
3.98764433246975,11619,52,2.22852677232138,0
1.61229468181207,5199,25,1.90517358176504,0
1.00096748404033,9703,30,2.01000744447202,0
0.963903134066818,8550,24,1.91039132798364,0
1.02180471642955,8130,30,2.41534920346478,0
1.11500225961666,3873,28,1.99606731296872,0
1.2568709358425,9918,29,2.39378665546585,0
3.99609756097561,4527,22,0.909887638591472,0
1.23488094449474,3551,20,0.842289693043999,0
1.13009847903111,20267,46,3.28271475122335,0
3.96943548005489,3297,21,0.680743262012082,0
1.06319493029151,5303,35,1.70259889851444,0
1.05157957415869,7604,21,2.00794540083529,1
1.28439983770086,5974,19,1.10207608452465,1
1.10980241180634,3317,29,1.07774004679009,1
1.32008434834608,1998,9,0.427408990403668,1
1.18437996809126,14590,54,3.50075370649521,1
2.66775048100622,7279,33,1.89862032286322,1
3.68705711711316,8279,33,2.33286381614025,1
1.40761446106604,7071,29,1.68815440057185,1
1.00344601545492,13070,39,2.30223074900277,1
1.16176051851647,4109,19,0.829792532999253,1
3.77075405119907,3543,11,0.96863503912016,1
1.23865541503319,5932,25,1.32742638147335,1
1.41575102950111,6419,36,1.89185885873651,1
0.997889452616177,15634,63,3.15964133200493,1
1.10646485830547,5126,24,1.2310421497695,1
1.23990037764853,8409,25,1.42025583096825,1
1.14481173660867,3844,17,1.10110222752362,1
0.97962852021184,13387,42,3.20223408234845,1
3.97649166883933,8324,33,1.77074729906407,1
1.27380938280603,4894,23,1.11374332230984,1
3.79051896703644,2707,14,0.831854932796047,1
3.94044108321394,2024,14,0.499205896411885,1
